Time(ms),Target Voltage(mV),Applied Voltage(mV),Current(uA)
40264,-90,-90,-1.96
40467,-80,-79.97,-1.83
40670,-70,-69.98,-1.58
40873,-60,-59.99,-1.58
41076,-50,-50,-0.23
41279,-40,-39.99,0.08
41482,-30,-29.99,0.08
41685,-20,-19.99,2.27
41888,-10,-15,-1.55
42090,0,0,0
42292,10,15,-20.73
42494,20,19.99,-0.75
42697,30,29.99,2.72
42900,40,39.99,5.45
43103,50,50,2.49
43306,60,59.99,3.43
43509,70,69.98,6.37
43712,80,79.97,4.94
43915,90,90,6.31
44118,100,99.99,7.9
44321,110,109.98,9.53
44524,120,119.98,11.26
44727,130,129.97,11.26
44930,140,139.98,14.78
45133,150,149.99,16.67
45336,160,160,18.43
45539,170,169.96,20.23
45742,180,179.96,21.78
45945,190,189.97,23.5
46148,200,199.98,23.5
46351,210,209.98,25.45
46554,220,219.97,26.04
46757,230,229.96,26.35
46960,240,239.95,26.5
47163,250,249.95,26.63
47366,260,259.94,26.39
47569,270,269.96,26.39
47772,280,279.96,25
47975,290,289.95,24.24
48178,300,299.94,23.53
48381,310,309.93,22.75
48584,320,319.93,22.17
48787,330,330,21.84
48990,340,339.91,21.84
49193,350,349.97,19.72
49396,360,359.93,19.72
49599,370,369.99,18.11
49802,380,379.85,17.82
50005,390,389.91,17.13
50207,400,399.96,16.67
50410,410,409.83,16.34
50613,420,419.89,15.62
50816,430,429.94,15.39
51019,440,440,14.91
51221,450,449.86,14.48
51424,460,459.92,14.3
51626,470,469.98,13.75
51829,480,479.84,13.62
52032,490,489.9,13.25
52235,500,499.96,13.02
52437,510,509.82,12.85
52640,520,519.88,12.43
52843,530,529.93,12.46
53046,540,539.99,12.13
53249,550,549.85,11.94
53451,560,559.91,11.89
53654,570,569.97,11.5
53856,580,579.83,11.6
54058,590,589.89,11.35
54261,600,599.95,11.33
